,,,,,,,,,,OLS,,,,Varguild,,,
name,score_sta,score_p,Sig,f_sta,f_p,Sig,bp_sta,bp_p,Sig,Est,SE,P,Sig,Est,SE,P,Sig
VH_exp_RLL,1.9703,0.1604,,1.969,0.1677,,1.3643,0.2428,,3.1174,1.2214,0.0143,,2.7483,1.0222,0.0102,
VH_SS_exp_RLL,4.8589,0.0275,**,5.205,0.0275,**,2.413,0.1203,,2.8791,1.3591,0.04,*,2.7008,1.428,0.0653,
VH_LS_exp_RLL,0.1862,0.6661,,0.1787,0.6746,,0.189,0.6637,,2.8392,1.2604,0.0294,,2.6562,0.9414,0.0072,
VDP_exp_RML,0.0242,0.8764,,0.0231,0.8799,,0.0185,0.8918,,1.712,1.2993,0.1946,,1.9159,1.1372,0.0993,
MSV_exp_RML,1.4029,0.2362,,1.3837,0.2459,,1.4168,0.2339,,-3.4458,1.484,0.025,,-3.7372,1.1772,0.0028,
TV_exp_RML,1.7257,0.189,,1.7147,0.1973,,1.1266,0.2885,,0.6495,1.6507,0.6959,,0.7002,1.7696,0.6943,
VH_exp_RML,0.0848,0.771,,0.0811,0.7771,,0.0579,0.8098,,2.3652,1.2726,0.07,,2.3238,1.3138,0.084,
VH_SS_exp_RML,0.2159,0.6422,,0.2073,0.6512,,0.1465,0.7019,,2.6368,1.2518,0.041,,2.6331,1.273,0.0447,
VH_LS_exp_RML,1.2426,0.265,,1.2211,0.2753,,0.8765,0.3492,,0.9469,1.3621,0.4907,,1.157,1.2836,0.3724,
VDP_exp_RSL,0.0163,0.8983,,0.0156,0.9011,,0.0142,0.9052,,1.6097,1.4918,0.2866,,1.6452,1.4342,0.2577,
MSV_exp_RSL,1.00E-04,0.991,,1.00E-04,0.9913,,1.00E-04,0.9903,,-2.8151,1.5697,0.0799,,-2.9488,1.4508,0.0483,
TV_exp_RSL,0.1011,0.7505,,0.0969,0.7571,,0.077,0.7815,,0.5765,1.633,0.7258,,0.4755,1.4753,0.7488,
VH_exp_RSL,0.0615,0.8042,,0.0588,0.8095,,0.0665,0.7966,,2.1335,1.555,0.1772,,2.1409,1.6464,0.2004,
VH_SS_exp_RSL,0.289,0.5908,,0.278,0.6008,,0.4124,0.5208,,4.0392,1.4963,0.0099,,3.9152,1.1465,0.0014,
VH_LS_exp_RSL,0.1251,0.7236,,0.1198,0.7309,,0.0923,0.7613,,-0.0025,1.4277,0.9986,,0.0366,1.4067,0.9794,
best_pre_fvc,2.5408,0.1109,,2.5612,0.1142,,1.7485,0.1861,,-5.3197,0.9194,0,,-5.1681,0.8351,0,
best_pre_fev1,0.9199,0.3375,,0.9056,0.3447,,0.9266,0.3357,,-5.6907,0.9201,0,,-5.5984,0.8734,0,
best_pre_fev1fvc,1.6022,0.2056,,1.5929,0.2112,,1.7086,0.1912,,-3.5619,1.1422,0.0027,,-3.5874,1.1538,0.0027,
best_pre_fef25_75,0.6211,0.4306,,0.6088,0.4379,,0.5512,0.4578,,-3.9339,1.0383,3.00E-04,,-3.9967,1.0529,3.00E-04,
best_pre_pef,0.1008,0.7508,,0.0981,0.7551,,0.11,0.7401,,-5.6978,0.9379,0,,-5.9724,0.9872,0,
predicted_fvc,0.0557,0.8134,,0.0542,0.8167,,0.0432,0.8353,,-3.5335,1.072,0.0016,,-3.5761,1.0966,0.0017,
pct_pred_fvc,0.7882,0.3746,,0.7744,0.382,,0.4456,0.5044,,-5.0518,0.9694,0,,-5.0184,0.957,0,
predicted_fev1,0.1955,0.6584,,0.1904,0.664,,0.1614,0.6878,,-4.0439,1.0502,3.00E-04,,-4.086,1.0681,3.00E-04,
pct_pred_fev1,0.0076,0.9307,,0.0073,0.9319,,0.0077,0.93,,-4.8922,0.9881,0,,-4.8109,0.9009,0,
predicted_fev1fvc,0.822,0.3646,,0.8081,0.3719,,0.7395,0.3898,,-3.4019,1.0745,0.0023,,-3.7608,0.8182,0,
pct_pred_fev1fvc,0.1181,0.7311,,0.1142,0.7366,,0.0741,0.7855,,-1.7192,1.1591,0.1436,,-1.6937,1.041,0.1094,
predicted_fef25_75,1.6223,0.2028,,1.6134,0.2083,,1.388,0.2387,,-4.9418,0.9951,0,,-4.7195,0.8855,0,
pct_pred_fef25_75,1.9069,0.1673,,1.9043,0.1721,,1.6819,0.1947,,-2.8659,1.0943,0.0109,,-2.8688,1.0953,0.0109,
bmi_new,0.2331,0.6293,,0.2259,0.6364,,0.1527,0.6959,,0.2691,0.1833,0.1477,,0.2768,0.1726,0.1144,
